"Kuvaako ""koodaripula,"" ""kohtaanto-ongelma,"" ""osaamispula"" tms. mielestäsi Suomen IT-asiantuntijamarkkinoiden nykytilaa totuudenmukaisesti tai hyödyllisesti?",Mikä seuraavista kuvaa työnkuvaasi parhaiten?,Q1 CLASSIFICATION,Q2 CLASSIFICATION,Q2 LITERAL TRANSLATION,KEY_TAKEAWAYS_FROM_COMMENTS,COMMENT(QUESTION_IS_BAD),COMMENT(LACK_OF_TRAINING_OR_ENTRY_PATHS_FOR_BEGINNERS_TO_INDUSTRY),COMMENT(SENIORS_ENGINEERS_NEEDED),COMMENT(OFFERS_ARE_NOT_GOOD),COMMENT(SOFTWARE_QUALITY_ISSUES_LEAD_TO_UNNECESSARY_WORK),COMMENT(INEFFICIENT_MANAGEMENT_HIRING_AND_WORK_PRACTICES),COMMENT(NO_CANDIDATES_AVAILABLE_FOR_COMPANY),COMMENT(CANDIDATES_REPORT_TROUBLE_FINDING_WORK),COMMENT(TOO_HIGH_OR_SPECIFIC_SKILLS_REQUIRED_FOR_WORK),COMMENT(BEGINNERS_AND_LESS_SKILLED_PROGRAMMERS_EASY_TO_FIND),COMMENT(HEADHUNTERS_ARE_VERY_ACTIVE),COMMENT(LOCATION_INEQUALITY_FOR_JOBS),COMMENT(TALENT_SHORTAGE_DISCOURSE_IS_NOT_WORKING),COMMENT(COMMITMENT_WORRIES),COMMENT(INTERNATIONAL_LABOR),COMMENT(AVAILABLE_WORK_MIGHT_NOT_BE_VERY_INTERESTING)
Ei. En usko pulatilaa olevan.,Yrityksen hallinto,N,GOVERNANCE,,"Not a shortage of professionals, but of skilled professionals. Young tend to have poor skills. Especially when not using new and trendy methods and frameworks. With outsourcing, quality has been an issue. Unfortunately, there's little focus on quality and demand for better. This applies also to finnish developers, which are often arrogant of their specialness",,TRUE,TRUE,,TRUE,,,,,TRUE,,,,,,TRUE
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,,TRUE,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Muu tietotekninen asiantuntija,N,SPECIALIST,,"Not much of shortage. The difficulty is more in finding the real rough diamonds from a pile of varied quality applicants. From 100 recruitments, maybe 10 have been good. From these half were juniors with less than 5 years of experience but with open minds and common sense. The most common toxic patterns with bad programmers: Wants to reinvent the wheel as it's fun. Does not care about budgets. Is used to using certain patterns and won't be willing to move out from comfort zone. Can't handle imperfections. Lack's motivation aside from monetary compensation and requires close supervision.",,,TRUE,,,,,,,TRUE,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Muu tietotekninen asiantuntija,N,SPECIALIST,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,Professionals are in short supply. Juniors and trainees make a long queue.,,,TRUE,,,,,,,TRUE,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Rekrytointi,Y,RECRUITMENT,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,Lack of people who are professionals in the individual technologies/programming languages/tools/etc. a company is using.,,,,,,,,,TRUE,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Yrityksen hallinto,Y,GOVERNANCE,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Lehtori,N,OTHER,Teacher,They should pay salaries as well.,,,,TRUE,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Yrityksen hallinto,Y,GOVERNANCE,,Mentions that the difficulty of finding new people makes it harder for organizations to re-invent themselves as people with antiquated skills can't push new ideas forward even if they would recognize the need.,,,,,,TRUE,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Yrityksen hallinto,Y,GOVERNANCE,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Muu tietotekninen asiantuntija,N,SPECIALIST,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Yrityksen hallinto,Y,GOVERNANCE,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,Most people hiring don't understand what the work requires. Skill requirements are exaggareted. Companies fear taking risks too much,,,,,,TRUE,,,TRUE,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,"No shortage of software developers, but devs willing to work underpaid.",,,,TRUE,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,Mostly a matching problem with salary demands and offers. Commitment is a problem. Hiring from another company just moves the problem to someone else. Entry-level programmers seeking for positions to learn and to use as stepping stones in their careers. ,,,,TRUE,,,,,,,,,,TRUE,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Yrityksen hallinto,Y,GOVERNANCE,,Manages a product development unit actively searching for workers. Seniors are impossible to find. Juniors available in plenty.,,,TRUE,,,,,,,TRUE,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,Believes there will be a oversupply of programmers in 3-5 years,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,"Suspects a new ""bubble"" in the industry and claims most projects are unnecessary",,,,,,TRUE,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,"Says there's lack of will for companies to develop systematically junior employees to experienced workers. Industry tries to outsource the responsibility for talent development to society, yet is failing in this as education instutions won't train the important niches they need. Wants companies to build incentives for internal career and skills development.",,TRUE,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,Shortage of experienced developers who are not asking for too much in salary or are willing to move to capital region.,,,TRUE,TRUE,,,,,,,,TRUE,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Rekrytointi,Y,RECRUITMENT,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,Shortage in exprienced programmers who can work independently and train juniors. Oversupply in common programmers.,,,TRUE,,,,,,,TRUE,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,"There is programmer shortage in Finland, but mostly with Senior developers.",,,TRUE,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Yrityksen hallinto,N,GOVERNANCE,,Lack of professionals in certain niches and the absolute best ones are not in Finland,,,,,,,,,,,,,,,TRUE,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,Hard time finding specialists for rare niches or old technologies in the respondents company.,,,,,,,,,TRUE,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,Lack of exprienced professionals for certain problems. Companies want senior employees for individual hyped tasks and lack the will to invest in training people to jobs.,,TRUE,TRUE,,,,,,TRUE,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Rekrytointi,Y,RECRUITMENT,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Rekrytointi,Y,RECRUITMENT,,Does not doubt there's shortage of skilled makers. Claims raising wages would not help as it will not create new professionals for a very long time.,,,TRUE,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Muu tietotekninen asiantuntija,N,SPECIALIST,,"Draws analogue to health-care sector where, similar ""shortage"" exists. Yet work conditions and wages stay stagnant.",,,,TRUE,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,"Lack of really skilled professionals. Witnessed a lot of recruitment efforts where companies try to hire top experts with small (or ""small"") wages, but that won't work. There's some availability of not-so-skilled folk, but not a lot of need for them.",,,TRUE,TRUE,,,,,,TRUE,,,,,,
Ei. En usko pulatilaa olevan.,Muu tietotekninen asiantuntija,N,SPECIALIST,,There's shortage of top seniors if any,,,TRUE,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Yrittäjä-ohjelmistokehittäjä,N,GOVERNANCE,Enterpreneur/software developer,"Companies would not hire the respondent due to lack of skills, so one ended up starting their own company with friends with good success. Thinks the requirements of companies are way too high.",,,,,,,,,TRUE,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,"Surely a shortage of seniors. At least cheap seniors. Claims there's a greater shortage of customers who would be compatible with modern means of work, who pay decently and who respect software craftmanship.",,,TRUE,TRUE,,TRUE,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,"Claims no unusual difficulty finding workers in company during last two years. Though job seekers face challenges. Some niches hard to find, but that can't be considered a labor shortage.",,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,C/C++ and embedded programmers hard to find. Claims their organization teaches students to create the specialists they need.,,,,,,,,,TRUE,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Yrityksen hallinto / ohjelmistokehittäjä samassa paketissa,Y,GOVERNANCE,Corporate governance / software developer,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,"There is shortage, but it's not as great as led to believe. Greater shortage in willingness to pay adequately. Companies choose to rather work in barebones with trainees and do bad quality software.",,,,TRUE,TRUE,,,,,,,,TRUE,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,Lack of experienced workers in practice.,,,TRUE,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,Claims in 10 years one has reached the peak in compensation in the field. Suspects there's more of a market failure with expectations/supply.,,,,,,,,,TRUE,,,,,,,
Ei. En usko pulatilaa olevan.,Muu tietotekninen asiantuntija,N,SPECIALIST,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Rekrytointi,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Muu tietotekninen asiantuntija,N,SPECIALIST,,Says being cheap and humble is the key in landing a job in IT.,,,,TRUE,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,The only shortage is in cheap workers,,,,TRUE,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,"There are plenty of applicants. But despite degrees, they often lack the skills to work in a professional environment. On the other hand, organizing work often leads to more need for work. Quite often companies seek extra headcount when problems could be solved with other means",,,,,,TRUE,,,,TRUE,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,"There are software developers available, but most candidates are unfortunately low on skills",,TRUE,TRUE,,,,,,,TRUE,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,Shortage would mean that experts would be dragged to work. Still hard to find programming work even there are claims of programmer shortage.,,,,,,,,TRUE,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Asiakas,N,CUSTOMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Rekrytointi,Y,RECRUITMENT,,presented a number of talent search platforms as proof of the shortage,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Muu tietotekninen asiantuntija,N,SPECIALIST,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Muu tietotekninen asiantuntija,N,SPECIALIST,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,"Seniors are needed to watch after hothead inexperienced developers, but companies lack the willingness to pay for experience.",,,TRUE,TRUE,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Rekrytointi,N,RECRUITMENT,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,"Maybe it's trouble with supply meeting demand and companies seeking for out-of-the-box professionals and are unwilling to train otherwise skilled programmer to a new language, for example. Also other factors play part, like salaries, job descriptions and recruiting. Many ads don't really know what they are seeking and what they are offering.",,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Asiakas,Y,CUSTOMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,"Many employers have limited world view. Often searching for professionals in very specific, narrow area or niche technology and when one can't find one or are not willing to pay what a rare professional asks, the companies want to victimize themselves and complain the talent shortage. I think employers should rather seek for people with right attitude and motivation. This type of person surely learns the niche technology if does not know it already. Employers are arrogant (though becoming less so) and the recruitment processeses and interviews might be belittling towards the candidate.",,,,TRUE,,,,,TRUE,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,"Trouble with keeping up to date with changing tech requirements, with commitment, responsibility taking and with specialist niche roles. Introductions to technologies might take months and the projects are supposed to start immediately.",,,,,,,,,TRUE,,,,,TRUE,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,"Lack of ""senior"" -level employees",,,TRUE,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,Their company dependant on foreign workers. Bringing new people in weekly from abroad.,,,,,,,,,,,,,,,TRUE,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Rekrytointi,Y,RECRUITMENT,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Yrityksen hallinto,Y,GOVERNANCE,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Muu tietotekninen asiantuntija,N,SPECIALIST,,"Mentions Finnish Language requirements as an obstacle even though it should not be. Bad design choices lead to unnecessary work. Programmer shortafe is self-created by the industry. Many teams are only made from multiple senior developers, even though it would be better to have seniors mentoring juniors to ensure continuity. Senior developers support this structure as it's less effort for them and improves their wages",,TRUE,,,TRUE,TRUE,,,,,,,,,TRUE,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Muu tietotekninen asiantuntija,N,SPECIALIST,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,"Claims advanced programming requires certain rare characteristics, thus not possible to increase amount indefinitely since there just isn't indefinitely people who can be trained.",,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,TRUE,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,"More than lack of suitable candidates, the respondent says there's lack of willingness to train junior programmers. There's a lot of ""5y experience on 3y old technology needed"" style of advertisements. Also mentions the importance of luck, networks and hobby programming for landing jobs.",,TRUE,,,,,,,TRUE,,,,,,,
