"Kuvaako ""koodaripula,"" ""kohtaanto-ongelma,"" ""osaamispula"" tms. mielestäsi Suomen IT-asiantuntijamarkkinoiden nykytilaa totuudenmukaisesti tai hyödyllisesti?",Mikä seuraavista kuvaa työnkuvaasi parhaiten?,Q1 CLASSIFICATION,Q2 CLASSIFICATION,Q2 LITERAL TRANSLATION,KEY_TAKEAWAYS_FROM_COMMENTS,COMMENT(QUESTION_IS_BAD),COMMENT(LACK_OF_TRAINING_OR_ENTRY_PATHS_FOR_BEGINNERS_TO_INDUSTRY),COMMENT(SENIORS_ENGINEERS_NEEDED),COMMENT(OFFERS_ARE_NOT_GOOD),COMMENT(SOFTWARE_QUALITY_ISSUES_LEAD_TO_UNNECESSARY_WORK),COMMENT(INEFFICIENT_MANAGEMENT_HIRING_AND_WORK_PRACTICES),COMMENT(NO_CANDIDATES_AVAILABLE_FOR_COMPANY),COMMENT(CANDIDATES_REPORT_TROUBLE_FINDING_WORK),COMMENT(TOO_HIGH_OR_SPECIFIC_SKILLS_REQUIRED_FOR_WORK),COMMENT(BEGINNERS_AND_LESS_SKILLED_PROGRAMMERS_EASY_TO_FIND),COMMENT(HEADHUNTERS_ARE_VERY_ACTIVE),COMMENT(LOCATION_INEQUALITY_FOR_JOBS),COMMENT(TALENT_SHORTAGE_DISCOURSE_IS_NOT_WORKING),COMMENT(COMMITMENT_WORRIES),COMMENT(INTERNATIONAL_LABOR),COMMENT(AVAILABLE_WORK_MIGHT_NOT_BE_VERY_INTERESTING)
Ei. En usko pulatilaa olevan.,Muu tietotekninen asiantuntija,N,SPECIALIST,,"Companies seek all-around professionals, unicorns, or niche experts with small salaries. No-one wants to train juniors. Especially salaried juniors. Or people who only know a portion of the languages required.",,TRUE,,TRUE,,,,,TRUE,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,Many companies want senior developers on junior salary so they won't need to train them themselves.,,TRUE,TRUE,TRUE,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Hallinto/johto/rekrytointi,Y,GOVERNANCE,Management/Leadership/Recruitment,"Considers it obvious there's more available positions than professionals. Mentions companies need seniors to train juniors and to build products. Junior-only workforce is unfeasible. Not every senior can just coach juniors. It's not unreasonable to ask people to have professional skills when they enter working. Maybe skilled programmers feed the narrative of programmer shortage to improve their own compensation? Claims they pay competitive salary, is flexible and gives opportunities for workforce development, still finds it difficult to find and hire skilled workforce and competitors are poaching heacily",,,TRUE,,,,TRUE,,,TRUE,TRUE,,TRUE,TRUE,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Rekrytointi,Y,RECRUITMENT,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Yrityksen hallinto,Y,GOVERNANCE,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Data scientist ,N,SPECIALIST,Data Scientist,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Muu tietotekninen asiantuntija,N,SPECIALIST,,"There is a lot of programmers, but everyone wants the best ones.",,,TRUE,,,,,,,TRUE,,,,,,
Ei. En usko pulatilaa olevan.,Muu tietotekninen asiantuntija,N,SPECIALIST,,"Says Finland has a unnecessary extra commercial layer for managing cheap offshore and nearshore work, that reduces cost-effectiveness and customer experience.",,,,,TRUE,TRUE,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Muu tietotekninen asiantuntija,N,SPECIALIST,,"Programmer shortage usually is tied to lack of willingness to invest in juniors and to inefficient work practices. Consultancies want to maximize the utilization rate, which often leads to building everything from scratch for multiple customers. There should be courage to put juniors to work with us seniors. I know a lot of things from 25 years of experience which would be a shame to lose when I retire.",,TRUE,,,,TRUE,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,Programmers are looked for all the time as they make the core business of building the products being sold. Emphasizes the importance of company ownership and feels many company owners and management does not respect the developers equally as peers.,,,,TRUE,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,"Claims new entrants to the field are coming up so fast, that the demand will be soon satisfied and many wishful entrants won't be able to land a job.",,,,,,,,,,TRUE,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,"Ohjlelmistokehittäjä (konsultti) + työnantaja (yrittäjä, halituksen puheenjohtaja)",Y,GOVERNANCE,"Software developer (consultant) + employer (enterpreneur, chairman of board)",,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,"Does not think there is a shortage due to recent job seeking experiences. Has 3 years of experience and a university degree, but claims more experienced ones are always chosen. Also gets feedback that one's salary requirement (4k/month) scares employers, even though this one claims it's reasonable. Even though job advertisements claim they are for beginner/intermediate professionals with 1-3 years of experience, still more experienced ones apply and get the jobs. The ""shortage"" is for seniors with junior wages.",,,TRUE,TRUE,,,,TRUE,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,Shortage only in senior developers who work for less than 3k/month,,,TRUE,TRUE,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Muu tietotekninen asiantuntija,N,SPECIALIST,,"Does not live in capital region. Almost graduated engineer. Company has 2 in-house developers even though they do not make any software to external customers. Managed to land a job with fairly little experience, but what has talked with other students, many seem to have trouble landing first jobs.",,TRUE,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,"Respondents manager has said, it's very hard to find skilled people in capital region",,,TRUE,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,Mentions that the discourse on talent shortage has twisted the market to absurd. Has talked with a number of sales directors sharing the opinion.,,TRUE,TRUE,,,,,,TRUE,,,,TRUE,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,"Work is being offered left and right, but most are just seeking senior developers on junior salaries.",,,TRUE,TRUE,,,,,,,TRUE,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,Niche domain requirements matching the exact company requirements hard to fill,,,,TRUE,,,,,TRUE,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,Programmer shortage by itself means more that there's a shortage of cheap programmers. Employers who are willing to pay for the expertise will find the people they need.,,,,TRUE,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,Simply not enough senior-level experience for digitalizing everything needed. Seniors ask higher wages than juniors and are not as motivated.,,,TRUE,TRUE,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,"Trainees and career switchers are available, but experts with multiple years of experience are really hard to recruit.",,TRUE,TRUE,,,,,,,TRUE,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,Shortage in experienced professionals. Especially ones who can handle larger systems alone and who understand dependencies. In consultancies experience is required so they can bodyshop individuals who don't need a support network around them.,,,TRUE,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Muu tietotekninen asiantuntija,N,SPECIALIST,,"There are plenty of junior devs, but no willingness to hire them.",,TRUE,,,,,,,,TRUE,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,Has a lot of ex-Nokians and younger professionals. Lack of agile professionals who can deliver what customer actually wants.,,,TRUE,,,TRUE,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,Schools do not create enough professionals,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,"Have not managed to arrange interviews, but suspects internal processes and the recruitment process are partly to blame.",,,,,,,TRUE,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,Lack of young professionals with senior experience and junior wage requirements,,,TRUE,TRUE,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,"Programmer shortage is from experienced and multi-disciplined professionals, not on beginners or for people with less than 5 years of experience. And not just for programmers. Shortage also in other adjacent professions. Data communications, enterprise system management, firewall configuration, authentication, load balancing, storage, virtualization, cloud management etc. Really hard to find skilled people for these niches in Finland and almost impossible outside the capital region. Often the only option is to buy services from international consultants. Waiting for service might take years.",,,TRUE,,,,,,TRUE,TRUE,,,,,TRUE,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Rekrytointi,Y,RECRUITMENT,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,"Skilled, senior programmers are needed. Juniors have significant trouble landing jobs in current market.",,TRUE,TRUE,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Muu tietotekninen asiantuntija,N,SPECIALIST,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ei-tekninen työn organisointi,Y,MANAGEMENT,,"""Programmer shortage"" might be a misleading wording, but it feels like ICT-business has a chronic problem with technical professionals. Partly it could be due to wide spectrum for job descriptions we consider as ""programmers"", which can lead to bad (or completely nonexistent) onboarding practices. And when you add the high labor mobility of ICT-companies, it might be a situation where there actually is enough professionals, but making them productive is such a complex and hard to solve problem that it looks like a chronic shortage of builders.",,,,,,TRUE,,,TRUE,,,,TRUE,TRUE,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,Experienced developers are needed but the shortage isn't so grim that they would accept juniors. Hard to get one's foot to the door without luck or connections.,,TRUE,TRUE,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,Specifically skilled programmers are in shortage. A lot of inexperienced ones with education from the field are available but who have not wanted to practice on their free time,,,TRUE,,,,,,,TRUE,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ei-tekninen työn organisointi,Y,MANAGEMENT,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,"""Shortage of programmers is like shortage of sprinters running 100m in less than 9.6s. There is ALWAYS shortage of extreme talent."" Why is there always demand for such a wide set of skills no ordinary person can achieve. A real solution would be to coordinate work more efficiently, specialize individuals further, hire a bunch of ordinary programmers and divide the work better.",,TRUE,,,,,TRUE,,TRUE,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,"Commitment issues with training juniors as they will pursue better salaries once trained to job. Headhunters end up taking thousands in comissions, but there's not enough for few hundreds in pay increases.",,TRUE,TRUE,TRUE,,,,,TRUE,,,,,TRUE,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,The will of employers to train people and to pay for talent are not matching with the labor force.,,TRUE,,TRUE,,,,,TRUE,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ei-tekninen työn organisointi,N,MANAGEMENT,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Rekrytointi,Y,RECRUITMENT,,The recruitment processes shows that talented programmers have options.,,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Muu tietotekninen asiantuntija,N,SPECIALIST,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Rekrytointi,Y,RECRUITMENT,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,Programmers can be found but there's always less for the specific needs of individual companies unless you train them yourself.,,,,,,,,,TRUE,TRUE,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,Junior developer fobia,,TRUE,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,Normal programmers are not in short supply. There are good and bad programmers. Shortage in people who are able to build software systematically.,,,TRUE,,,,,,,TRUE,,,,,,
Ei. En usko pulatilaa olevan.,Muu tietotekninen asiantuntija,N,SPECIALIST,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,N,SPECIALIST,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,Too many bad programmers are trained,,,,,,,,,,TRUE,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,"Developers easy to find. Finding exact matches hard. Suspects motive for ""shortage"" is for labour cost reductions with foreign labor.",,,,TRUE,,,,,TRUE,,,,TRUE,,TRUE,
Ei. En usko pulatilaa olevan.,Muu tietotekninen asiantuntija,N,SPECIALIST,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,"Lots of junior applications, but not much junior positions. Mentions lack of company commitment towards junior developers leading to death spiral.",,TRUE,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,Lack of cheap programmers. Says foreigners are not attracted by finnish wages.,,,,TRUE,,,,,,,,,,,TRUE,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Yrityksen hallinto,Y,GOVERNANCE,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,data scientist,Y,SPECIALIST,Data Scientist,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,"Partly true, but there's unrealistic expectations with employers and lack of good recruitment practices. Mentions political motivations behind the ""programmer shortage"" narrative",,,,,,TRUE,,,TRUE,,,,TRUE,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Muu tietotekninen asiantuntija,N,SPECIALIST,,"Bad software quality leads to technical debt, which leads to need for more people. This does not help with the problem itself.",,,,,TRUE,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,A lot of recruiters seem to be interested in the respondent,,,,,,,,,,,,TRUE,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,"Hires everyone ""sane"" they can find. Ever beginners and career switchers. Still a small business.",,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,Shortage of people willing to work with low wages,,,,TRUE,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,"Some fields have too much labor, others have too much jobs. At least in ICT, the issue isn't like in many other fields where companies seek for free trainees and complain how hard it is to employ people.",,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,Companies should invest themselves in training new professionals if they have trouble finding candidates with advertisements.,,TRUE,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,"The education does not prepare for the niche (IoT, embedded) they seek. Credible candidates all come from the hobbyist scene.",,,,,,,,,,,,,,,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,"If there would be a shortage, then candidates would not be treated badly. Interviews are too exhausting. Homework assignments are unclear, recruiters are incompetent, communication is inhumane and the processes take months.",,,,TRUE,,TRUE,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,Does not believe short intensive courses for people changing professions is a sustainable way to increase amount of programmers Says that inexperienced developers will create more need for experienced ones.,,,,,TRUE,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,The shortage is real in sense that out-of-the-box professionals that companies seek do not exist. Companies have very tight criteria for what employees should know and can't see the path where juniors develop into seniors or a skilled senior can learn a new language or stack when needed. Especially consultancies have need for makers who can generate billable hours. But it's not sustainable either that the same people are moving around from company to another after the best benefit packages. Companies that develop their own products could more easily hire juniors and help them develop in their duties.,,TRUE,TRUE,,,,,,TRUE,TRUE,,,,TRUE,,
Ei. En usko pulatilaa olevan.,Ohjelmistokehittäjä,N,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Rekrytointi,Y,RECRUITMENT,,,,,,,,,,,,,,,,,,
